Barcode,Well,Result
NB00153860,F08,4710887
NB00153860,F09,4865223
NB00153860,F10,4941421
NB00153860,F11,4958066
NB00153860,F12,4905057
NB00153860,F13,5024614
NB00153860,F14,5040734
NB00153860,F15,4961065
NB00153860,F16,4865794
NB00153860,F17,5035704
NB00153860,F18,5024663
NB00153860,F19,5019403
NB00153860,F20,4805473
NB00153860,F21,4948582
NB00153860,F22,4929599
NB00153860,F23,4922755
NB00153860,F24,5016499
NB00153860,F25,4936735
NB00153860,F26,5083768
NB00153860,F27,5301514
NB00153860,F28,4971563
NB00153860,F29,5226593
NB00153860,F30,5152195
NB00153860,F31,5188783
NB00153860,F32,5244799
NB00153860,F33,5255587
NB00153860,F34,5273780
NB00153860,F35,5083597
NB00153860,F36,5041625
NB00153860,F37,5122094
NB00153860,F38,5235200
NB00153860,F39,5115057
NB00153860,F40,5168894
NB00153860,F41,5278256
NB00153860,F42,5260644
NB00153860,F43,5332171
NB00153860,F44,5114083
NB00153860,F45,5315637
NB00153860,F46,5318680
NB00153860,F47,5156817
NB00153860,F48,5025270
NB00153860,G01,146889
NB00153860,G02,138703
NB00153860,G03,137504
NB00153860,G04,131840
NB00153860,G05,4815332
NB00153860,G06,4761676
NB00153860,G07,4809228
NB00153860,G08,4645800
NB00153860,G09,4697734
NB00153860,G10,4725367
NB00153860,G11,4772028
NB00153860,G12,4692461
NB00153860,G13,4700438
NB00153860,G14,4792049
NB00153860,G15,4849934
NB00153860,G16,4687741
NB00153860,G17,4793572
NB00153860,G18,4805465
NB00153860,G19,4878049
NB00153860,G20,4804573
NB00153860,G21,4784841
NB00153860,G22,4737491
NB00153860,G23,4804455
NB00153860,G24,4764312
NB00153860,G25,4740969
NB00153860,G26,4952732
NB00153860,G27,4879044
NB00153860,G28,4793855
NB00153860,G29,4908753
NB00153860,G30,4932404
NB00153860,G31,4901135
NB00153860,G32,5023989
NB00153860,G33,4983284
NB00153860,G34,5066373
NB00153860,G35,4938744
NB00153860,G36,5037211
NB00153860,G37,4989682
NB00153860,G38,5093781
NB00153860,G39,5038624
NB00153860,G40,5178069
NB00153860,G41,5141399
NB00153860,G42,5283707
NB00153860,G43,5095864
NB00153860,G44,5237876
NB00153860,G45,5221333
NB00153860,G46,5316912
NB00153860,G47,5246978
NB00153860,G48,5170868
NB00153860,H01,138386
NB00153860,H02,139129
NB00153860,H03,137372
NB00153860,H04,136129
NB00153860,H05,4912892
NB00153860,H06,5015977
NB00153860,H07,4997391
NB00153860,H08,4944839
NB00153860,H09,4922398
NB00153860,H10,4949655
NB00153860,H11,4959732
NB00153860,H12,4942707
NB00153860,H13,4945711
NB00153860,H14,4969909
NB00153860,H15,5009707
NB00153860,H16,4931290
NB00153860,H17,4909612
NB00153860,H18,4939609
NB00153860,H19,4980072
NB00153860,H20,4933901
NB00153860,H21,4952306
NB00153860,H22,4948642
NB00153860,H23,6864235
NB00153860,H24,4901445
NB00153860,H25,5021703
NB00153860,H26,4955359
NB00153860,H27,5122308
NB00153860,H28,5201725
NB00153860,H29,5091164
NB00153860,H30,5037995
NB00153860,H31,5073831
NB00153860,H32,4997705
NB00153860,H33,5753368
NB00153860,H34,5216835
NB00153860,H35,5195192
NB00153860,H36,5189674
NB00153860,H37,5250072
NB00153860,H38,5260437
NB00153860,H39,5235201
NB00153860,H40,5238741
NB00153860,H41,5292669
NB00153860,H42,5384317
NB00153860,H43,5339964
NB00153860,H44,5322178
NB00153860,H45,5443750
NB00153860,H46,5401774
NB00153860,H47,5347371
NB00153860,H48,5226663
NB00153860,I01,142563
NB00153860,I02,144220
NB00153860,I03,137043
NB00153860,I04,139302
NB00153860,I05,4562940
NB00153860,I06,4627739
NB00153860,I07,4559999
NB00153860,I08,4391873
NB00153860,I09,4493251
NB00153860,I10,4533638
NB00153860,I11,4631899
NB00153860,I12,4399129
NB00153860,I13,4515199
NB00153860,I14,4586188
NB00153860,I15,4576362
NB00153860,I16,4442227
NB00153860,I17,4597668
NB00153860,I18,4662636
NB00153860,I19,4642643
NB00153860,I20,4578463
NB00153860,I21,4610014
NB00153860,I22,4510429
NB00153860,I23,4674736
NB00153860,I24,4504131
